from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246109524611752+1862752+1,246109524611752+1862759+1,1,
20,20,,,246100624610063+1862753+1,246100624610063+1862760+1,1,
20,20,,,246101524611765+1862751+1,246101524611765+1862758+1,1,
20,20,,,246101124610283+1862752+1,246101124610283+1862759+1,1,
20,20,,,246104624610563+1862752+1,246104624610563+1862759+1,1,
20,20,,,246106724610841+1862752+1,246106724610841+1862759+1,1,
20,20,,,246106724610842+1862752+1,246106724610842+1862759+1,1,
20,20,,,246103224610402+1862754+1,246103224610402+1862761+1,1,
20,20,,,246100424610051+1862752+1,246100424610051+1862759+1,1,
20,20,,,246100424610052+1862752+1,246100424610052+1862759+1,1,
20,20,,,246109524611754+1862752+1,246109524611754+1862759+1,1,
20,20,,,246101124610281+1862752+1,246101124610281+1862759+1,1,
20,20,,,246108924610914+1862752+1,246108924610914+1862759+1,1,
20,20,,,246104624610561+1862752+1,246104624610561+1862759+1,1,
20,20,,,246106124610634+1862752+1,246106124610634+1862759+1,1,
20,20,,,246106724610843+1862752+1,246106724610843+1862759+1,1,
20,20,,,246109524611753+1862752+1,246109524611753+1862759+1,1,
20,20,,,246100124610015+1862751+1,246100124610015+1862758+1,1,
20,20,,,246104624610562+1862752+1,246104624610562+1862759+1,1,
20,20,,,246108924610913+1862752+1,246108924610913+1862759+1,1,
20,20,,,246103224610401+1862754+1,246103224610401+1862761+1,1,
20,20,,,246101124610284+1862752+1,246101124610284+1862759+1,1,
20,20,,,246104624610564+1862752+1,246104624610564+1862759+1,1,
20,20,,,246109524611751+1862752+1,246109524611751+1862759+1,1,
20,20,,,246101124610282+1862752+1,246101124610282+1862759+1,1,
20,20,,,246106124610632+1862752+1,246106124610632+1862759+1,1,
20,20,,,246106124610633+1862752+1,246106124610633+1862759+1,1,
20,20,,,246106724610844+1862752+1,246106724610844+1862759+1,1,
20,20,,,246108924610912+1862752+1,246108924610912+1862759+1,1,
20,20,,,246103424610343+1862755+1,246103424610343+1862762+1,1,
20,20,,,246104624610562+1862852+1,246104624610562+1866010+1,1,
20,20,,,246104624610563+1862852+1,246104624610563+1866010+1,1,
20,20,,,246106724610842+1862852+1,246106724610842+1866010+1,1,
20,20,,,246109524611751+1862852+1,246109524611751+1866010+1,1,
20,20,,,246101124610281+1862852+1,246101124610281+1866010+1,1,
20,20,,,246101124610284+1862852+1,246101124610284+1866010+1,1,
20,20,,,246108924610914+1862852+1,246108924610914+1866010+1,1,
20,20,,,246100124610015+1862851+1,246100124610015+1862955+1,1,
20,20,,,246101124610283+1862852+1,246101124610283+1866010+1,1,
20,20,,,246104624610561+1862852+1,246104624610561+1866010+1,1,
20,20,,,246106724610843+1862852+1,246106724610843+1866010+1,1,
20,20,,,246100424610051+1862852+1,246100424610051+1866010+1,1,
20,20,,,246101124610282+1862852+1,246101124610282+1866010+1,1,
20,20,,,246106124610632+1862852+1,246106124610632+1866010+1,1,
