route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,246100124610015,246100124610015+1860304+1,Grand Central,1213,1,,5,1,1
3,246100124610015,246100124610015+1860310+1,Grand Central,1221,1,,5,1,1
3,246100124610015,246100124610015+1860315+1,Grand Central,1225,1,,5,1,1
3,246100124610015,246100124610015+1860319+1,Grand Central,1229,1,,5,1,1
3,246100124610015,246100124610015+1860324+1,Grand Central,1231,1,,5,1,1
3,246100124610015,246100124610015+1860328+1,Grand Central,1233,1,,5,1,1
3,246100124610015,246100124610015+1860334+1,Grand Central,1237,1,,5,1,1
3,246100124610015,246100124610015+1860338+0,Grand Central,1239,1,,5,1,0
3,246100124610015,246100124610015+1860342+0,Grand Central,1241,1,,5,1,0
3,246100124610015,246100124610015+1860348+1,Harrison,1244,0,,16,1,1
3,246100124610015,246100124610015+1860354+1,Harrison,1248,0,,16,1,1
3,246100124610015,246100124610015+1860359+1,Harrison,1254,0,,16,1,1
3,246100124610015,246100124610015+1860362+1,New Rochelle,1256,0,,16,1,1
3,246100124610015,246100124610015+1860366+1,Harrison,1260,0,,16,1,1
3,246100124610015,246100124610015+1860371+1,Harrison,1264,0,,16,1,1
3,246100124610015,246100124610015+1860375+1,New Rochelle,1268,0,,16,1,1
3,246100124610015,246100124610015+1860380+1,Harrison,1270,0,,16,1,1
3,246100124610015,246100124610015+1860386+1,Harrison,1274,0,,16,1,1
3,246100124610015,246100124610015+1860390+0,Grand Central,1275,1,,5,1,0
3,246100124610015,246100124610015+1860396+0,Grand Central,1279,1,,5,1,0
3,246100124610015,246100124610015+1860400+0,Grand Central,1299,1,,5,1,0
3,246100124610015,246100124610015+1860406+0,Stamford,1300,0,,16,1,0
3,246100124610015,246100124610015+1860409+0,Grand Central,1301,1,,5,1,0
3,246100124610015,246100124610015+1860414+0,Stamford,1302,0,,16,1,0
3,246100124610015,246100124610015+1860417+1,Grand Central,1303,1,,5,1,1
3,246100124610015,246100124610015+1860422+0,Stamford,1304,0,,16,1,0
3,246100124610015,246100124610015+1860425+1,Grand Central,1305,1,,5,1,1
3,246100124610015,246100124610015+1860431+0,Greenwich,1306,0,,16,1,0
3,246100124610015,246100124610015+1860436+1,Grand Central,1307,1,,5,1,1
3,246100124610015,246100124610015+1860441+1,Greenwich,1308,0,,16,1,1
3,246100124610015,246100124610015+1860447+1,Grand Central,1309,1,,5,1,1
3,246100124610015,246100124610015+1860453+1,Greenwich,1310,0,,16,1,1
3,246100124610015,246100124610015+1860459+1,Grand Central,1311,1,,5,1,1
3,246100124610015,246100124610015+1860464+1,Stamford,1312,0,,16,1,1
3,246100124610015,246100124610015+1860470+1,Stamford,1314,0,,16,1,1
3,246100124610015,246100124610015+1860476+1,Grand Central,1315,1,,5,1,1
3,246100124610015,246100124610015+1860481+0,Stamford,1316,0,,16,1,0
3,246100124610015,246100124610015+1860486+1,Grand Central,1317,1,,5,1,1
3,246100124610015,246100124610015+1860491+0,Stamford,1318,0,,16,1,0
3,246100124610015,246100124610015+1860497+0,Stamford,1320,0,,16,1,0
3,246100124610015,246100124610015+1860503+1,Grand Central,1321,1,,5,1,1
3,246100124610015,246100124610015+1860509+0,Stamford,1322,0,,16,1,0
3,246100124610015,246100124610015+1860515+0,Stamford,1324,0,,16,1,0
3,246100124610015,246100124610015+1860520+1,Grand Central,1325,1,,5,1,1
3,246100124610015,246100124610015+1860524+0,Stamford,1326,0,,16,1,0
3,246100124610015,246100124610015+1860529+1,Grand Central,1327,1,,5,1,1
3,246100124610015,246100124610015+1860533+0,Stamford,1328,0,,16,1,0
3,246100124610015,246100124610015+1860538+0,Stamford,1330,0,,16,1,0
3,246100124610015,246100124610015+1860542+1,Grand Central,1331,1,,5,1,1
3,246100124610015,246100124610015+1860548+0,Stamford,1332,0,,16,1,0
3,246100124610015,246100124610015+1860554+1,Grand Central,1333,1,,5,1,1
3,246100124610015,246100124610015+1860560+0,Stamford,1334,0,,16,1,0
3,246100124610015,246100124610015+1860564+1,Grand Central,1335,1,,5,1,1
3,246100124610015,246100124610015+1860569+0,Stamford,1336,0,,16,1,0
3,246100124610015,246100124610015+1860574+0,Stamford,1338,0,,16,1,0
3,246100124610015,246100124610015+1860579+0,Grand Central,1339,1,,5,1,0
3,246100124610015,246100124610015+1860583+0,Stamford,1340,0,,16,1,0
3,246100124610015,246100124610015+1860589+0,Grand Central,1341,1,,5,1,0
3,246100124610015,246100124610015+1860593+0,Stamford,1342,0,,16,1,0
3,246100124610015,246100124610015+1860599+1,Stamford,1346,0,,16,1,1
3,246100124610015,246100124610015+1860605+0,Grand Central,1347,1,,5,1,0
3,246100124610015,246100124610015+1860610+0,Grand Central,1349,1,,5,1,0
3,246100124610015,246100124610015+1860615+0,Grand Central,1351,1,,5,1,0
3,246100124610015,246100124610015+1860620+1,Stamford,1352,0,,16,1,1
3,246100124610015,246100124610015+1860625+0,Grand Central,1353,1,,5,1,0
3,246100124610015,246100124610015+1860629+0,Grand Central,1355,1,,5,1,0
3,246100124610015,246100124610015+1860636+0,Grand Central,1357,1,,5,1,0
3,246100124610015,246100124610015+1860641+1,Stamford,1358,0,,16,1,1
3,246100124610015,246100124610015+1860646+0,Grand Central,1359,1,,5,1,0
3,246100124610015,246100124610015+1860650+1,Stamford,1360,0,,16,1,1
3,246100124610015,246100124610015+1860656+0,Grand Central,1361,1,,5,1,0
3,246100124610015,246100124610015+1860662+1,Old Greenwich,1362,0,,16,1,1
3,246100124610015,246100124610015+1860668+0,Grand Central,1363,1,,5,1,0
3,246100124610015,246100124610015+1860673+0,Grand Central,1365,1,,5,1,0
3,246100124610015,246100124610015+1860678+0,Grand Central,1367,1,,5,1,0
3,246100124610015,246100124610015+1860683+1,Stamford,1368,0,,16,1,1
3,246100124610015,246100124610015+1860689+0,Grand Central,1369,1,,5,1,0
3,246100124610015,246100124610015+1860694+1,Stamford,1370,0,,16,1,1
3,246100124610015,246100124610015+1860698+0,Grand Central,1371,1,,5,1,0
3,246100124610015,246100124610015+1860704+0,Grand Central,1373,1,,5,1,0
3,246100124610015,246100124610015+1860709+1,Stamford,1374,0,,16,1,1
3,246100124610015,246100124610015+1860715+0,Grand Central,1375,1,,5,1,0
3,246100124610015,246100124610015+1860720+1,Stamford,1376,0,,16,1,1
3,246100124610015,246100124610015+1860726+0,Grand Central,1379,1,,5,1,0
3,246100124610015,246100124610015+1860730+0,Grand Central,1381,1,,5,1,0
3,246100124610015,246100124610015+1860734+1,Stamford,1382,0,,16,1,1
3,246100124610015,246100124610015+1860739+0,Grand Central,1383,1,,5,1,0
3,246100124610015,246100124610015+1860745+0,Stamford,1384,0,,16,1,0
3,246100124610015,246100124610015+1860751+0,Grand Central,1385,1,,5,1,0
3,246100124610015,246100124610015+1860757+0,Stamford,1386,0,,16,1,0
3,246100124610015,246100124610015+1860763+0,Grand Central,1387,1,,5,1,0
3,246100124610015,246100124610015+1860767+0,Stamford,1388,0,,16,1,0
3,246100124610015,246100124610015+1860771+0,Grand Central,1389,1,,5,1,0
3,246100124610015,246100124610015+1860775+0,Stamford,1390,0,,16,1,0
3,246100124610015,246100124610015+1860781+0,Grand Central,1391,1,,5,1,0
3,246100124610015,246100124610015+1860785+0,Stamford,1392,0,,16,1,0
3,246100124610015,246100124610015+1860790+0,Grand Central,1393,1,,5,1,0
3,246100124610015,246100124610015+1860795+0,Stamford,1394,0,,16,1,0
3,246100124610015,246100124610015+1860799+0,Grand Central,1395,1,,5,1,0
3,246100124610015,246100124610015+1860803+0,Grand Central,1397,1,,5,1,0
3,246100124610015,246100124610015+1860810+0,Stamford,1398,0,,16,1,0
3,246100124610015,246100124610015+1860815+0,Grand Central,1399,1,,5,1,0
3,246100124610015,246100124610015+1860819+0,New Haven,1402,0,,16,1,0
